"title","book_size","isbn","price","release_date","author","illustrator","publisher"
"１６：００の召喚魔法①","A6","978-4-906866-16-8",626,"2013-04-25","木緒なち","refeia","オーバーラップ文庫"
"デスニードラウンド／ラウンド１","A6","978-4-906866-15-1",669,"2013-04-25","アサウラ","赤井てら","オーバーラップ文庫"
"よろず屋退魔士の返済計画１　100億の契約書","A6","978-4-906866-14-4",669,"2013-04-25","SOW","蔓木鋼音","オーバーラップ文庫"
"ロンリー・マイセルフ・サーガ１","A6","978-4-906866-13-7",669,"2013-04-25","深山ユーキ","一葉モカ","オーバーラップ文庫"
"IS＜インフィニット・ストラトス＞①","A6","978-4-906866-05-2",626,"2013-04-25","弓弦イズル","ＣＨＯＣＯ","オーバーラップ文庫"
"IS＜インフィニット・ストラトス＞②","A6","978-4-906866-06-9",691,"2013-04-25","弓弦イズル","ＣＨＯＣＯ","オーバーラップ文庫"
"IS＜インフィニット・ストラトス＞⑧","A6","978-4-906866-12-0",626,"2013-04-25","弓弦イズル","ＣＨＯＣＯ","オーバーラップ文庫"
"IS＜インフィニット・ストラトス＞⑧特装版","A6","978-4-906866-04-5",2037,"2013-04-25","弓弦イズル","ＣＨＯＣＯ","オーバーラップ文庫"
"ボクが乙女でひとり占め！①","A6","978-4-906866-19-9",626,"2013-05-25","天草白","東雲龍","オーバーラップ文庫"
"浮遊学園のアリス＆シャーリー①","A6","978-4-906866-18-2",669,"2013-05-25","むらさきゆきや","しらび","オーバーラップ文庫"
"温泉ドラゴン王国１　～ユの国よいとこ、一度はおいで～","A6","978-4-906866-17-5",626,"2013-05-25","山川進","児玉酉","オーバーラップ文庫"
"IS＜インフィニット・ストラトス＞③","A6","978-4-906866-07-6",669,"2013-05-25","弓弦イズル","ＣＨＯＣＯ","オーバーラップ文庫"
"ツギハギ運命翅（バタフライ）１　～新宿デイズ～","A6","978-4-906866-23-6",691,"2013-06-25","熊谷純","曽我部修司[FiFS]","オーバーラップ文庫"
"灰と幻想のグリムガル　level.1　ささやき、詠唱、祈り、目覚めよ","A6","978-4-906866-22-9",691,"2013-06-25","十文字青","白井鋭利","オーバーラップ文庫"
"聖剣と魔竜の世界１","A6","978-4-906866-20-5",691,"2013-06-25","サイトウケンジ","黒銀","オーバーラップ文庫"
"IS＜インフィニット・ストラトス＞④","A6","978-4-906866-08-3",626,"2013-06-25","弓弦イズル","ＣＨＯＣＯ","オーバーラップ文庫"
"ろりひめさまの建国日誌１","A6","978-4-906866-26-7",626,"2013-07-25","箕崎准","しゅがすく","オーバーラップ文庫"
"美少女宇宙人とふしぎ道具回収のはずが肌色展開すぎてヤバイ１","A6","978-4-906866-25-0",669,"2013-07-25","箕崎准","榎本ひな","オーバーラップ文庫"
"蒼天のサムライ　第一部　端琉島脱出戦","A6","978-4-906866-24-3",691,"2013-07-25","田代裕彦","naji","オーバーラップ文庫"
"IS＜インフィニット・ストラトス＞⑤","A6","978-4-906866-09-0",626,"2013-07-25","弓弦イズル","ＣＨＯＣＯ","オーバーラップ文庫"
"烈風の魔札使（マージ）と召喚戦争１","A6","978-4-906866-31-1",669,"2013-08-25","森田季節","クロサワテツ","オーバーラップ文庫"
"時渡りの〈紅女神騎士団〉（スカーレット・ナイツ）１","A6","978-4-906866-29-8",626,"2013-08-25","諸星崇","パセリ","オーバーラップ文庫"
"マゾヒスティック・エクスタシー１","A6","978-4-906866-28-1",669,"2013-08-25","橘ぱん","しのづかあつと","オーバーラップ文庫"
